id	uline行业号	uline行业名	状态	阿里行业号	阿里行业名	阿里新行业号	阿里新行业名	微信行业号	微信行业名
104	161215010100104	企业-娱乐/美容/健身服务-美发/美容/美甲-祛痘	1	2016081100207105	美发/美容/美甲-祛痘-／	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所
105	161215010100105	企业-娱乐/美容/健身服务-美发/美容/美甲-整形	1	2016062900190302	美发/美容/美甲-整形-／	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所
106	161215010100106	企业-娱乐/美容/健身服务-运动健身-篮球场	1	2015110500074890	运动健身-篮球场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
107	161215010100107	企业-娱乐/美容/健身服务-运动健身-舞蹈	1	2015110500083341	运动健身-舞蹈-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
108	161215010100108	企业-娱乐/美容/健身服务-运动健身-网球场	1	2015110500077463	运动健身-网球场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
109	161215010100109	企业-娱乐/美容/健身服务-运动健身-乒乓球馆	1	2015110500077464	运动健身-乒乓球馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
110	161215010100110	企业-娱乐/美容/健身服务-运动健身-游泳馆	1	2015110500078657	运动健身-游泳馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
111	161215010100111	企业-娱乐/美容/健身服务-运动健身-羽毛球馆	1	2015110500073009	运动健身-羽毛球馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
112	161215010100112	企业-娱乐/美容/健身服务-运动健身-桌球馆	1	2015110500078658	运动健身-桌球馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
113	161215010100113	企业-娱乐/美容/健身服务-运动健身-瑜伽	1	2015110500078659	运动健身-瑜伽-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
114	161215010100114	企业-娱乐/美容/健身服务-运动健身-足球场	1	2015110500075901	运动健身-足球场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
115	161215010100115	企业-娱乐/美容/健身服务-运动健身-武术场馆	1	2015110500085004	运动健身-武术场馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
116	161215010100116	企业-娱乐/美容/健身服务-运动健身-溜冰场	1	2016012900151604	运动健身-溜冰场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
117	161215010100117	企业-娱乐/美容/健身服务-运动健身-保龄球馆	1	2016051600179926	运动健身-保龄球馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
118	161215010100118	企业-娱乐/美容/健身服务-运动健身-壁球场	1	2016051600183429	运动健身-壁球场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
119	161215010100119	企业-娱乐/美容/健身服务-运动健身-排球场	1	2016051600181795	运动健身-排球场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
120	161215010100120	企业-娱乐/美容/健身服务-运动健身-高尔夫球场	1	2016051600179925	运动健身-高尔夫球场-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
121	161215010100121	企业-娱乐/美容/健身服务-运动健身-体育场馆	1	2016051600178152	运动健身-体育场馆-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
122	161215010100122	企业-娱乐/美容/健身服务-运动健身-健身中心	1	2015110500080520	运动健身-健身中心-／	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所
123	161215010100123	企业-生活/家居-宠物-宠物店	1	2016012900148581	宠物-宠物店-／	2015063000020189	生活服务	284	企业-生活/家居-宠物/宠物食品/饲料
